,0
0,240.7633
1,240.7684
2,240.8325
3,240.8747
4,240.857
5,240.8805
6,240.8367
7,240.8328
8,240.8314
9,240.8324
10,240.8082
11,240.7859
12,240.8051
13,240.7906
14,240.7617
15,240.75400000000002
16,240.6888
17,240.6323
18,240.6167
19,240.6381
20,240.6046
21,240.5982
22,240.577
23,240.5877
24,240.575
25,240.62900000000002
26,240.6117
27,240.5716
28,240.6118
29,240.5977
30,240.6328
31,240.5872
32,240.5806
33,240.5833
34,240.53599999999997
35,240.5369
36,240.5306
37,240.5433
38,240.5355
39,240.5439
40,240.532
41,240.5528
42,240.5551
43,240.5624
44,240.5817
45,240.6035
46,240.6485
47,240.6509
48,240.628
49,240.5806
50,240.5891
51,240.6074
52,240.5627
53,240.505
54,240.5298
55,240.5203
56,240.5276
57,240.5573
58,240.5686
59,240.5842
60,240.5446
61,240.4842
62,240.52599999999998
63,240.53799999999998
64,240.5187
65,240.5229
66,240.5558
67,240.53599999999997
68,240.5242
69,240.5004
70,240.4789
71,240.4732
72,240.4344
73,240.4546
74,240.4496
75,240.4518
76,240.4405
77,240.4158
78,240.4257
79,240.4267
80,240.408
81,240.4184
82,240.4446
83,240.4722
84,240.50900000000001
85,240.4926
86,240.4608
87,240.44799999999998
88,240.3837
89,240.3463
90,240.3334
91,240.3246
92,240.3291
93,240.3601
94,240.3765
95,240.4196
96,240.4302
97,240.4293
98,240.4166
99,240.4458
100,240.4447
101,240.4373
102,240.4713
103,240.4943
104,240.4825
105,240.4896
106,240.4662
107,240.4318
108,240.4796
109,240.4246
110,240.3919
111,240.3514
112,240.3283
113,240.3045
114,240.3004
115,240.3421
116,240.3294
117,240.3632
118,240.3505
119,240.2921
120,240.2988
121,240.2822
122,240.2952
123,240.3253
124,240.3657
125,240.3775
126,240.3585
127,240.3261
128,240.3032
129,240.2943
130,240.3142
131,240.3119
132,240.2938
133,240.28099999999998
134,240.2639
135,240.2691
136,240.3156
137,240.3093
138,240.2669
139,240.2267
140,240.2162
141,240.2087
142,240.2358
143,240.2416
144,240.2587
145,240.2652
146,240.204
147,240.1775
148,240.1894
149,240.1817
150,240.2189
151,240.2784
152,240.308
153,240.3334
154,240.3532
155,240.3406
156,240.3971
157,240.4043
158,240.4085
159,240.4097
160,240.4135
161,240.4776
162,240.5127
163,240.5264
164,240.5528
165,240.4788
166,240.4513
167,240.4996
168,240.5274
169,240.4591
170,240.4231
171,240.4591
172,240.4024
173,240.3896
174,240.3916
175,240.4213
176,240.4569
177,240.4622
178,240.4453
179,240.4223
180,240.4228
181,240.4587
182,240.488
183,240.4505
184,240.4055
185,240.4506
186,240.4081
187,240.4658
188,240.498
189,240.5367
190,240.5254
191,240.5479
192,240.592
193,240.6157
194,240.5771
195,240.5546
196,240.5503
197,240.5569
198,240.5614
199,240.5584
200,240.5618
201,240.5719
202,240.6169
203,240.6276
204,240.6336
205,240.6457
206,240.6311
207,240.611
208,240.6026
209,240.5858
210,240.5545
211,240.5807
212,240.6078
213,240.6429
214,240.6488
215,240.5717
216,240.5755
217,240.582
218,240.5789
219,240.5768
220,240.5843
221,240.5676
222,240.5569
223,240.5856
224,240.5574
225,240.563
226,240.5836
227,240.61
228,240.5769
229,240.5605
230,240.5446
231,240.5483
232,240.5199
233,240.5881
234,240.5898
235,240.6305
236,240.6434
237,240.6626
238,240.6049
239,240.6328
240,240.6038
241,240.6172
242,240.6142
243,240.5843
244,240.6144
245,240.583
246,240.5922
247,240.5968
248,240.5875
249,240.5933
250,240.5791
251,240.5915
252,240.5487
253,240.5274
254,240.511
255,240.5055
256,240.4912
257,240.5148
258,240.5425
259,240.5825
260,240.6518
261,240.6963
262,240.6846
263,240.6687
264,240.6495
265,240.6373
266,240.6132
267,240.5686
268,240.5118
269,240.493
270,240.5183
271,240.4869
272,240.4639
273,240.488
274,240.5001
275,240.4461
276,240.4556
277,240.4269
278,240.4878
279,240.5166
280,240.5211
281,240.5443
282,240.5835
283,240.6297
284,240.6214
285,240.6279
286,240.6409
287,240.6344
288,240.6489
289,240.6758
290,240.6664
291,240.7007
292,240.6689
293,240.6856
294,240.6737
295,240.7194
296,240.6863
297,240.6903
298,240.7032
299,240.7461
300,240.7538
301,240.8218
302,240.8569
303,240.8668
304,240.8408
305,240.9139
306,240.9713
307,240.9883
308,240.9635
309,240.9399
310,240.9618
311,240.9465
312,240.9413
313,240.9626
314,241.0112
315,241.0434
316,241.0533
317,241.1078
318,241.1149
319,241.1319
320,241.0644
321,241.1021
322,241.0945
323,241.0565
324,241.051
325,241.1102
326,241.12900000000002
327,241.1657
328,241.19
329,241.1745
330,241.1757
331,241.1566
332,241.1718
333,241.1457
334,241.1811
335,241.1613
336,241.2225
337,241.2103
338,241.1894
339,241.1771
340,241.1892
341,241.2022
342,241.2204
343,241.2406
344,241.2135
345,241.231
346,241.19299999999998
347,241.1832
348,241.165
349,241.1732
350,241.217
351,241.2164
352,241.1948
353,241.2402
354,241.3126
355,241.3695
356,241.4041
357,241.4217
358,241.4207
359,241.4278
360,241.4266
361,241.4291
362,241.4352
363,241.4065
364,241.4275
365,241.40400000000002
366,241.3494
367,241.3371
368,241.3356
369,241.328
370,241.3158
371,241.3285
372,241.322
373,241.285
374,241.2794
375,241.2511
376,241.2921
377,241.2854
378,241.2893
379,241.2672
380,241.2485
381,241.2829
382,241.2933
383,241.2838
384,241.2654
385,241.2858
386,241.2588
387,241.2518
388,241.2147
389,241.2867
390,241.2829
391,241.2534
392,241.2834
393,241.274
394,241.2905
395,241.3297
396,241.3705
397,241.3587
398,241.3726
399,241.3484
400,241.3732
401,241.3778
402,241.3658
403,241.3357
404,241.3251
405,241.3932
406,241.4442
407,241.4263
408,241.4169
409,241.4493
410,241.4679
411,241.4893
412,241.4948
413,241.4484
414,241.4582
415,241.4937
416,241.5005
417,241.4773
418,241.4728
419,241.4653
